Calvados,Eau,0.5
Calvados,Orange,0.5
Friture,Ail,0.090909
Friture,Coriandre,0.090909
Friture,Curcuma,0.090909
Friture,Eau,0.090909
Friture,Hanout,0.090909
Friture,Oeuf,0.090909
Friture,Poivre,0.090909
Friture,Poudre,0.090909
Friture,Purée,0.090909
Friture,Safran,0.090909
Friture,Sel,0.090909
Filo,Beurre,0.083333
Filo,Blanc,0.083333
Filo,Carotte,0.083333
Filo,Homard,0.083333
Filo,Lardons,0.083333
Filo,Liquide,0.083333
Filo,Oignon,0.083333
Filo,Porto,0.083333
Filo,Rose,0.083333
Filo,Saint-jacques,0.083333
Filo,Salade,0.083333
Filo,Échalote,0.083333
Vert,Ail,0.02381
Vert,Avocat,0.02381
Vert,Balsamique,0.02381
Vert,Beurre,0.02381
Vert,Brisée,0.02381
Vert,Champagne,0.02381
Vert,Cheddar,0.02381
Vert,Coco,0.02381
Vert,Coriandre,0.047619
Vert,Cumin,0.02381
Vert,Curry,0.047619
Vert,Figue,0.02381
Vert,Fraîche,0.02381
Vert,Germée,0.02381
Vert,Huile,0.047619
Vert,Jambon,0.02381
Vert,Jaune,0.047619
Vert,Laurier,0.02381
Vert,Lentille,0.02381
Vert,Mangue,0.02381
Vert,Maïs,0.02381
Vert,Merguez,0.02381
Vert,Miel,0.02381
Vert,Moutarde,0.02381
Vert,Mozzarella,0.02381
Vert,Oeuf,0.02381
Vert,Oignon,0.071429
Vert,Olive,0.071429
Vert,Paprika,0.02381
Vert,Piment,0.02381
Vert,Poivre,0.095238
Vert,Poulet,0.02381
Vert,Roquette,0.02381
Vert,Rouge,0.095238
Vert,Râpé,0.02381
Vert,Salade,0.02381
Vert,Sanglier,0.02381
Vert,Saucisse,0.047619
Vert,Saumon,0.02381
Vert,Sel,0.095238
Vert,Sucre,0.02381
Vert,Tomate,0.047619
Glace,Amande,0.055556
Glace,Beurre,0.055556
Glace,Bicarbonate,0.055556
Glace,Blanc,0.055556
Glace,Cacao,0.055556
Glace,Café,0.055556
Glace,Cannelle,0.111111
Glace,Citron,0.111111
Glace,Eau,0.055556
Glace,Farine,0.055556
Glace,Gelée,0.055556
Glace,Gingembre,0.055556
Glace,Liquide,0.111111
Glace,Muscade,0.055556
Glace,Oeuf,0.166667
Glace,Poudre,0.055556
Glace,Reine,0.055556
Glace,Sucre,0.055556
Blanc,Ail,0.065574
Blanc,Amande,0.016393
Blanc,Aneth,0.016393
Blanc,Asperge,0.016393
Blanc,Banane,0.016393
Blanc,Beurre,0.081967
Blanc,Bouillon,0.032787
Blanc,Cacao,0.016393
Blanc,Cannelle,0.016393
Blanc,Carotte,0.016393
Blanc,Champignon,0.016393
Blanc,Charentes,0.016393
Blanc,Chimique,0.032787
Blanc,Châtaigne,0.016393
Blanc,Citron,0.032787
Blanc,Concombre,0.016393
Blanc,Crevette,0.016393
Blanc,Curry,0.016393
Blanc,Cèpe,0.016393
Blanc,Céleri,0.016393
Blanc,Eau,0.016393
Blanc,Emmental,0.016393
Blanc,Estragon,0.016393
Blanc,Farine,0.04918
Blanc,Filo,0.016393
Blanc,Framboise,0.016393
Blanc,Fraîche,0.065574
Blanc,Fumé,0.016393
Blanc,Glace,0.016393
Blanc,Gras,0.016393
Blanc,Homard,0.016393
Blanc,Huile,0.032787
Blanc,Lait,0.016393
Blanc,Lardons,0.016393
Blanc,Liquide,0.04918
Blanc,Légume,0.016393
Blanc,Mangue,0.016393
Blanc,Moules,0.016393
Blanc,Muscade,0.016393
Blanc,Noix,0.016393
Blanc,Oeuf,0.065574
Blanc,Oignon,0.04918
Blanc,Oseille,0.016393
Blanc,Persil,0.032787
Blanc,Poivre,0.098361
Blanc,Pomme,0.04918
Blanc,Porto,0.032787
Blanc,Poudre,0.016393
Blanc,Poulet,0.016393
Blanc,Pêche,0.016393
Blanc,Riz,0.016393
Blanc,Rose,0.016393
Blanc,Râpé,0.032787
Blanc,Saint-jacques,0.016393
Blanc,Salade,0.016393
Blanc,Secs,0.016393
Blanc,Sel,0.098361
Blanc,Sirop,0.016393
Blanc,Sucre,0.016393
Blanc,Tomate,0.016393
Blanc,Échalote,0.04918
Groseille,Abricot,0.166667
Groseille,Beurre,0.166667
Groseille,Canne,0.166667
Groseille,Farine,0.166667
Groseille,Sel,0.166667
Groseille,Vanillé,0.166667
Branche,Boeuf,0.0625
Branche,Carotte,0.0625
Branche,Ciboulette,0.0625
Branche,Céleri,0.0625
Branche,Fenouil,0.0625
Branche,Flanchet,0.0625
Branche,Langue,0.0625
Branche,Moelle,0.0625
Branche,Navet,0.0625
Branche,Oignon,0.0625
Branche,Paleron,0.0625
Branche,Persil,0.0625
Branche,Pieds,0.0625
Branche,Poireau,0.0625
Branche,Poivre,0.0625
Branche,Sel,0.0625
Hanout,Ail,0.05
Hanout,Coriandre,0.05
Hanout,Curcuma,0.05
Hanout,Eau,0.05
Hanout,Farine,0.05
Hanout,Friture,0.05
Hanout,Huile,0.05
Hanout,Oeuf,0.1
Hanout,Oignon,0.1
Hanout,Olive,0.05
Hanout,Poivre,0.15
Hanout,Poudre,0.05
Hanout,Poulet,0.05
Hanout,Provence,0.05
Hanout,Purée,0.05
Hanout,Râpé,0.05
Hanout,Safran,0.05
Hanout,Sel,0.15
Hanout,Verte,0.05
Hanout,Épices,0.05
Riz,Ail,0.0625
Riz,Blanc,0.0625
Riz,Boursin,0.0625
Riz,Concombre,0.0625
Riz,Courgette,0.0625
Riz,Curry,0.0625
Riz,Estragon,0.0625
Riz,Merguez,0.0625
Riz,Olive,0.0625
Riz,Poivre,0.0625
Riz,Pomme,0.0625
Riz,Poulet,0.0625
Riz,Rose,0.0625
Riz,Sel,0.125
Riz,Tomate,0.0625
Riz,Échalote,0.0625
Huile,Ail,0.068966
Huile,Asperge,0.017241
Huile,Avocat,0.034483
Huile,Balsamique,0.017241
Huile,Beurre,0.034483
Huile,Blanc,0.034483
Huile,Carotte,0.034483
Huile,Champignon,0.017241
Huile,Cheddar,0.017241
Huile,Chimique,0.017241
Huile,Chou,0.017241
Huile,Citron,0.017241
Huile,Condiments,0.017241
Huile,Coriandre,0.017241
Huile,Cumin,0.017241
Huile,Cèpe,0.017241
Huile,Céleri,0.017241
Huile,Farine,0.051724
Huile,Fraîche,0.034483
Huile,Gingembre,0.017241
Huile,Gruyère,0.017241
Huile,Hanout,0.017241
Huile,Haricot,0.017241
Huile,Kiwi,0.017241
Huile,Lait,0.034483
Huile,Laurier,0.017241
Huile,Levure,0.017241
Huile,Maïs,0.017241
Huile,Merguez,0.017241
Huile,Mesclun,0.017241
Huile,Mie,0.017241
Huile,Miel,0.017241
Huile,Oeuf,0.051724
Huile,Oignon,0.051724
Huile,Persil,0.051724
Huile,Piment,0.017241
Huile,Pistache,0.017241
Huile,Poivre,0.155172
Huile,Pomme,0.017241
Huile,Porto,0.017241
Huile,Poulet,0.017241
Huile,Provence,0.017241
Huile,Rose,0.017241
Huile,Rouge,0.017241
Huile,Râpé,0.017241
Huile,Salade,0.017241
Huile,Saucisse,0.034483
Huile,Sec,0.017241
Huile,Sel,0.155172
Huile,Soja,0.017241
Huile,Sucre,0.034483
Huile,Terre,0.017241
Huile,Thym,0.017241
Huile,Tomate,0.034483
Huile,Vert,0.034483
Huile,Verte,0.017241
Huile,Viande,0.017241
Huile,Vinaigre,0.017241
Thon,Balsamique,0.045455
Thon,Beurre,0.045455
Thon,Citron,0.045455
Thon,Concombre,0.045455
Thon,Coriandre,0.045455
Thon,Courgette,0.045455
Thon,Cumin,0.045455
Thon,Espelette,0.045455
Thon,Feuilletée,0.090909
Thon,Liquide,0.090909
Thon,Moutarde,0.090909
Thon,Oeuf,0.045455
Thon,Olive,0.090909
Thon,Persil,0.045455
Thon,Poivre,0.181818
Thon,Radis,0.045455
Thon,Rouge,0.045455
